Week,Python,R,Machine learning,Data science
2014-10-05,37,24,1,1
2014-10-12,37,24,1,1
2014-10-19,38,24,1,1
2014-10-26,37,24,1,1
2014-11-02,38,23,1,1
2014-11-09,37,24,2,1
2014-11-16,39,24,2,1
2014-11-23,35,23,1,1
2014-11-30,37,24,1,1
2014-12-07,36,23,2,1
2014-12-14,35,22,1,1
2014-12-21,26,19,1,1
2014-12-28,25,18,1,1
2015-01-04,33,21,1,1
2015-01-11,35,22,2,1
2015-01-18,37,23,2,1
2015-01-25,37,24,1,1
2015-02-01,39,24,2,1
2015-02-08,39,24,2,1
2015-02-15,36,24,1,1
2015-02-22,40,24,2,1
2015-03-01,40,24,2,1
2015-03-08,39,24,2,1
2015-03-15,39,25,2,1
2015-03-22,40,24,2,1
2015-03-29,37,23,2,1
2015-04-05,37,24,2,1
2015-04-12,39,25,2,1
2015-04-19,39,25,2,1
2015-04-26,38,24,2,1
2015-05-03,38,24,2,1
2015-05-10,38,24,2,1
2015-05-17,39,23,2,1
2015-05-24,36,22,2,1
2015-05-31,39,22,2,1
2015-06-07,39,23,2,1
2015-06-14,40,22,2,1
2015-06-21,40,23,2,1
2015-06-28,37,22,2,1
2015-07-05,38,22,2,1
2015-07-12,38,23,2,1
2015-07-19,38,23,2,1
2015-07-26,37,22,2,1
2015-08-02,37,22,2,1
2015-08-09,36,22,2,1
2015-08-16,36,22,2,1
2015-08-23,40,22,2,1
2015-08-30,40,22,2,1
2015-09-06,40,22,2,1
2015-09-13,41,24,2,1
2015-09-20,42,24,2,1
2015-09-27,42,23,2,1
2015-10-04,43,24,2,1
2015-10-11,43,25,2,1
2015-10-18,43,24,2,2
2015-10-25,43,24,2,1
2015-11-01,44,25,2,2
2015-11-08,43,24,3,1
2015-11-15,44,24,2,1
2015-11-22,41,23,2,1
2015-11-29,44,23,2,1
2015-12-06,44,24,2,1
2015-12-13,43,22,2,1
2015-12-20,33,20,2,1
2015-12-27,31,18,2,1
2016-01-03,43,22,2,1
2016-01-10,45,23,2,2
2016-01-17,48,23,2,2
2016-01-24,48,24,2,2
2016-01-31,50,25,2,2
2016-02-07,49,25,2,2
2016-02-14,48,25,2,2
2016-02-21,50,25,2,2
2016-02-28,52,25,2,2
2016-03-06,52,26,3,2
2016-03-13,51,25,3,2
2016-03-20,49,24,3,2
2016-03-27,48,24,3,2
2016-04-03,51,26,3,2
2016-04-10,53,26,3,2
2016-04-17,51,26,3,2
2016-04-24,49,26,3,2
2016-05-01,48,24,2,2
2016-05-08,49,25,3,3
2016-05-15,49,24,3,2
2016-05-22,51,24,3,2
2016-05-29,51,24,3,2
2016-06-05,50,24,3,2
2016-06-12,50,24,3,2
2016-06-19,50,24,3,2
2016-06-26,47,23,3,2
2016-07-03,46,22,3,2
2016-07-10,47,23,3,2
2016-07-17,49,22,3,2
2016-07-24,47,23,3,2
2016-07-31,47,22,3,2
2016-08-07,44,22,3,2
2016-08-14,41,21,2,2
2016-08-21,46,23,3,2
2016-08-28,49,23,3,2
2016-09-04,50,23,3,2
2016-09-11,52,23,3,2
